Date,Tobacco,Gold,Silver,Corn,Cotton
2025-04-02,-0.0210127526383057,0.0064208518753972,0.0099390830394356,-0.0086626962642122,-0.0065934065934066
2025-04-03,0.0220158236874086,-0.0140547027983071,-0.0773448773448773,-0.0005461496450027,-0.0442477876106194
2025-04-04,-0.0255684771576155,-0.0276451933241501,-0.0857053487644666,0.0060109289617487,-0.0222222222222221
2025-04-07,-0.0195435954764581,-0.0203597548922712,0.0127950735545672,0.0092341118957088,0.0415088383838382
2025-04-08,0.0309045400050393,0.0055824589722894,0.0027698959600053,0.0096878363832078,-0.0066676769207455
2025-04-09,-0.0175240318567975,0.0298307805497961,0.0245570302499493,0.0106609808102344,0.0164759725400458
2025-04-10,0.0048069457961092,0.0318568552315385,0.0113102087785632,0.018987341772152,-0.0024013207263994
2025-04-11,0.021784872446148,0.0211172305271438,0.0374199421307583,0.0150103519668736,-0.0087257409357605
2025-04-14,0.0040077780502525,-0.0056401405412068,0.008053901598245,-0.0107088220295767,-0.0081954773106693
2025-04-15,0.0112646055200174,0.004370331339305,0.004041408897317,-0.0077319587628865,0.0117827084927315
2025-04-16,-0.004050115060087,0.0327120108628564,0.0211474749976778,0.0062337662337661,0.0037810042347248
2025-04-17,-0.0019032166415071,-0.0053789146545542,-0.0154639175257731,-0.0041300980898296,0.0114509567575711
2025-04-22,0.0093099872235,0.0273404638865522,0.013396981829381,0.0020736132711249,0.0013406822583048
2025-04-23,-0.0025607428219087,-0.0366438556471896,0.0195107126576505,-0.008277289187791,0.0269265099672717
2025-04-24,0.000888616122552,0.0165447314896329,-0.0013115926908515,0.0099113197704747,0.0020281037230189
2025-04-25,-0.009700382543291,-0.0149913396643373,-0.0147151001402859,0.0030991735537189,-0.0053491398004915
2025-04-28,0.0011215140068956,0.0149466407955372,-0.0001514692517418,-0.0046343975283212,-0.0181686046511627
2025-04-29,0.0044770691821141,-2.987125489140041e-05,0.0127253446447506,-0.0269011898603207,-0.0156920799407845
2025-04-30,0.0253266526132471,-0.0044509499342813,-0.0223186237845922,0.0111642743221691,-0.0070687321401714
2025-05-01,-0.0026410838803112,-0.0259789359978395,-0.0089966033232352,-0.0068349106203995,-0.0054528930627082
2025-05-02,-0.0024274902342493,-0.0027448153487855,-0.0091091554732127,-0.0044891476971943,0.0382272311909839
